Stock_Code,Stock_Name,Stock_Code1,Stock_Name1,Start_Date
600596,  ????????,600596,  ????????,  2001-09-06
600597,  ????????,600597,  ????????,  2002-08-28
600598,  ??????,600598,  ??????,  2002-03-29
600599,  ST????,600599,  ST????,  2001-08-28
600600,  ????????,600600,  ????????,  1993-08-27
600601,  ST????,600601,  ST????,  1990-12-19
600602,  ????????,600602,  ????????,  1990-12-19
600603,  ????????,600603,  ????????,  1992-01-13
600604,  ????????,600604,  ????????,  1992-03-27
600605,  ????????,600605,  ????????,  1992-03-27
600606,  ????????,600606,  ????????,  1992-03-27
600608,  ST????,600608,  ST????,  1992-03-27
600609,  ????????,600609,  ????????,  1992-07-24
600610,  ??????,600610,  ??????,  1992-08-05
600611,  ????????,600611,  ????????,  1992-08-07
600612,  ??????,600612,  ??????,  1992-08-14
600613,  ????????,600613,  ????????,  1992-08-20
600615,  *ST????,600615,  *ST????,  1992-09-10
600616,  ????????,600616,  ????????,  1992-09-29
600617,  ????????,600617,  ????????,  1992-10-13
600618,  ????????,600618,  ????????,  1992-11-13
600619,  ????????,600619,  ????????,  1992-11-13
600620,  ????????,600620,  ????????,  1992-11-17
600621,  ????????,600621,  ????????,  1992-12-02
600622,  ????????,600622,  ????????,  1992-12-03
600623,  ????????,600623,  ????????,  1992-12-04
600624,  ????????,600624,  ????????,  1993-01-05
600626,  ????????,600626,  ????????,  1993-01-07
600628,  ??????,600628,  ??????,  1993-01-09
600629,  ????????,600629,  ????????,  1993-02-09
600630,  ????????,600630,  ????????,  1993-02-09
600633,  ????????,600633,  ????????,  1993-03-04
600635,  ????????,600635,  ????????,  1993-03-04
600636,  ????????,600636,  ????????,  1993-03-16
600637,  ????????,600637,  ????????,  1993-03-16
600638,  ??????,600638,  ??????,  1993-03-26
600639,  ????????,600639,  ????????,  1993-03-26
600640,  ??????,600640,  ??????,  1993-04-07
600641,  ????????,600641,  ????????,  1993-04-07
600642,  ????????,600642,  ????????,  1993-04-16
600643,  ????????,600643,  ????????,  1993-04-26
600644,  ????????,600644,  ????????,  1993-04-26
600645,  ????????,600645,  ????????,  1993-05-04
600647,  ????????,600647,  ????????,  1993-05-04
600648,  ??????,600648,  ??????,  1993-05-04
600649,  ????????,600649,  ????????,  1993-05-18
600650,  ????????,600650,  ????????,  1993-06-07
600651,  ????????,600651,  ????????,  1986-09-26
600652,  *ST????,600652,  *ST????,  1990-12-19
600653,  ????????,600653,  ????????,  1990-12-19
600654,  ST????,600654,  ST????,  1990-12-19
600655,  ????????,600655,  ????????,  1992-09-02
600657,  ????????,600657,  ????????,  1993-05-24
600658,  ??????,600658,  ??????,  1993-05-24
600660,  ????????,600660,  ????????,  1993-06-10
600661,  ????????,600661,  ????????,  1993-06-14
600662,  ????????,600662,  ????????,  1993-06-14
600663,  ??????,600663,  ??????,  1993-06-28
600664,  ????????,600664,  ????????,  1993-06-29
600665,  ??????,600665,  ??????,  1993-07-09
600666,  ST????,600666,  ST????,  1993-07-12
600667,  ????????,600667,  ????????,  1993-07-28
600668,  ????????,600668,  ????????,  1993-07-28
600671,  ST????,600671,  ST????,  1993-08-23
600673,  ??????,600673,  ??????,  1993-09-17
600674,  ????????,600674,  ????????,  1993-09-24
600675,  ????????,600675,  ????????,  1993-09-24
600676,  ????????,600676,  ????????,  1993-09-28
600678,  ????????,600678,  ????????,  1993-10-08
600679,  ????????,600679,  ????????,  1993-10-08
600681,  ????????,600681,  ????????,  1993-10-18
600682,  ????????,600682,  ????????,  1993-10-18
600683,  ????????,600683,  ????????,  1993-10-25
600684,  ????????,600684,  ????????,  1993-10-28
600685,  ????????,600685,  ????????,  1993-10-28
600686,  ????????,600686,  ????????,  1993-11-08
600688,  ????????,600688,  ????????,  1993-11-08
600689,  ????????,600689,  ????????,  1993-11-08
600690,  ????????,600690,  ????????,  1993-11-19
600691,  ????????,600691,  ????????,  1993-11-19
600692,  ????????,600692,  ????????,  1993-11-19
600693,  ????????,600693,  ????????,  1993-11-22
600694,  ????????,600694,  ????????,  1993-11-22
600695,  *ST????,600695,  *ST????,  1993-11-22
600696,  ????????,600696,  ????????,  1993-12-06
600697,  ????????,600697,  ????????,  1993-12-06
600698,  ????????,600698,  ????????,  1993-12-06
600699,  ????????,600699,  ????????,  1993-12-06
600702,  ????????,600702,  ????????,  1996-05-24
600703,  ????????,600703,  ????????,  1996-05-28
600704,  ????????,600704,  ????????,  1996-06-06
600705,  ????????,600705,  ????????,  1996-05-16
